text,intent
open,open_application
bring me,open_application
show me,open_application
can you open,open_application
can you show,open_application
launch,open_application
i want to see,open_application
i'd like to open,open_application
start the app,open_application
load the application,open_application
run the app,open_application
initiate the program,open_application
open up,open_application
close,close_application
exit,close_application
shut down,close_application
terminate,close_application
quit,close_application
turn off,close_application
close the app,close_application
stop the app,close_application
end the application,close_application
halt the program,close_application
shut the application,close_application
discontinue the app,close_application
finish the app,close_application
search file,search_file
find file,search_file
locate file,search_file
look for file,search_file
can you find the file,search_file
search for the file,search_file
locate the file,search_file
look up file,search_file
retrieve the file,search_file
hunt for file,search_file
track the file,search_file
seek out the file,search_file
scan for file,search_file
search folder,search_folder
find folder,search_folder
locate folder,search_folder
look for folder,search_folder
can you find the folder,search_folder
search for the folder,search_folder
locate the folder,search_folder
look up folder,search_folder
retrieve the folder,search_folder
hunt for folder,search_folder
track the folder,search_folder
seek out the folder,search_folder
scan for folder,search_folder
what is the time,show_time_date
what's the date,show_time_date
tell me the time,show_time_date
give me the date,show_time_date
what time is it,show_time_date
what day is it today,show_time_date
what is today's date,show_time_date
current time,show_time_date
current date,show_time_date
what day of the week is it,show_time_date
can you tell me the time,show_time_date
what date is it today,show_time_date
what day is it,show_time_date
show me the weather,get_weather
what's the weather like,get_weather
how's the weather today,get_weather
tell me the weather,get_weather
give me the weather update,get_weather
weather report for today,get_weather
what's the weather forecast,get_weather
today's weather conditions,get_weather
current weather,get_weather
will it rain today,get_weather
is it sunny outside,get_weather
what's the temperature,get_weather
how is the weather outside,get_weather
search,web_search
look up,web_search
find information on,web_search
google,web_search
search for,web_search
look for,web_search
find details on,web_search
look into,web_search
investigate,web_search
search online,web_search
browse for,web_search
seek information on,web_search
research,web_search
turn on,turn_on_control
enable,turn_on_control
switch on,turn_on_control
activate,turn_on_control
start,turn_on_control
power on,turn_on_control
turn the control on,turn_on_control
initiate,turn_on_control
engage,turn_on_control
light up,turn_on_control
start up,turn_on_control
put on,turn_on_control
power up,turn_on_control
turn off,turn_off_control
disable,turn_off_control
switch off,turn_off_control
deactivate,turn_off_control
stop,turn_off_control
power off,turn_off_control
turn the control off,turn_off_control
shut down,turn_off_control
cut off,turn_off_control
disconnect,turn_off_control
shut off,turn_off_control
kill,turn_off_control
halt,turn_off_control
increase,increase_control
turn up,increase_control
raise,increase_control
boost,increase_control
amplify,increase_control
enhance,increase_control
make it louder,increase_control
elevate,increase_control
intensify,increase_control
up the volume,increase_control
crank up,increase_control
heighten,increase_control
ramp up,increase_control
decrease,decrease_control
turn down,decrease_control
lower,decrease_control
reduce,decrease_control
diminish,decrease_control
lessen,decrease_control
make it quieter,decrease_control
decrease the volume,decrease_control
cut down,decrease_control
drop,decrease_control
tone down,decrease_control
minimize,decrease_control
bring down,decrease_control
mute,mute
silence,mute
turn off sound,mute
disable sound,mute
mute the audio,mute
silence the volume,mute
turn off the volume,mute
cut the sound,mute
mute the speakers,mute
quiet the audio,mute
mute the system,mute
hush the sound,mute
shut off audio,mute
pause the sound,mute
stop the sound,mute
pause the music,mute
pause the audio,mute
